program_name,categories,sections,subsections,course_code,course_name,course_oid,credits,min_categories_credits,section_credit_min,section_credit_max
Core Program,KNOWLEDGE AND UNDERSTANDING,Humanities,Theory & Criticism,POLS 110,POLS 110 - Foundations of Political Community,56357,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Humanities,Theory & Criticism,POLS 240,"POLS 240 - Freedom, Justice, and Political Authority",56365,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Humanities,Theory & Criticism,POLS 242,"POLS 242 - Philosophy, Politics, and Law",56793,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,CS 100,CS 100 - Creating Interactive Web Media,55961,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,CS 106,CS 106 - Introduction to Scientific Computation and Modeling,55963,3,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,CS 108,CS 108 - Introduction to Computing,55964,3,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,DATA 102,DATA 102 - Foundations of Data Science and Analytics,56827,2,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,ECON 243,ECON 243 - Introductory Econometrics,57075,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,HNRS 251,HNRS 251 - Honors Computer Science,57197,2,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,MATH 100,MATH 100 - Mathematics in the Contemporary World,56235,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,MATH 132,"MATH 132 - Calculus for Management, Life, and Social Sciences",56236,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,MATH 161,MATH 161 - Calculus: Modeling and Computation,57855,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,MATH 162,MATH 162 - Differential and Integral Calculus,57856,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,MATH 221,MATH 221 - The Real Number System and Methods for Elementary School Teachers,56240,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,POLS 253,POLS 253 - Introductory Econometrics,56794,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,PSYC 255,PSYC 255 - Statistics and Research Design,56387,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,SOC 255,SOC 255 - Social Science Statistics,56467,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,SOWK 255,SOWK 255 - Social Science Statistics,56480,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,STAT 143,STAT 143 - Introduction to Probability and Statistics,56536,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Mathematical Sciences,,STAT 145,STAT 145 - Biostatistics,56537,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,ASTR 110,"ASTR 110 - Planets, Stars, and Galaxies",55839,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,ASTR 111,ASTR 111 - The Solar System,55840,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,ASTR 112,"ASTR 112 - Stars, Galaxies, and the Universe",55841,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,ASTR 201,ASTR 201 - Astrophysical Black Holes,56829,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,ASTR 211,ASTR 211 - Planetary and Stellar Astronomy,55842,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,HNRS 232,HNRS 232 - Honors Physics and Astronomy,57101,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 130,"PHYS 130 - Particles, Nuclei, and Astronomy",56947,1,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 131,"PHYS 131 - Matter, Light, and Energy",56332,1,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 133,PHYS 133 - Introductory Physics: Mechanics and Gravity,56333,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 212,PHYS 212 - Inquiry-Based Physics,56335,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 221,PHYS 221 - General Physics,56336,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Physics & Astronomy,PHYS 223,PHYS 223 - Physics for the Health Sciences,56338,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 113,BIOL 113 - Contemporary Topics in Biology,57137,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 115,BIOL 115 - Essentials of Human Anatomy and Physiology,55847,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 123,BIOL 123 - Living Systems,55848,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 141,BIOL 141 - Cell Biology and Genetics for the Health Sciences,55849,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 160,BIOL 160 - Ecological and Evolutionary Systems,55850,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,BIOL 161,BIOL 161 - Cellular and Genetic Systems,55851,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,HNRS 230,HNRS 230 - Concepts and Methods in Science,56855,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,HNRS 233,HNRS 233 - Honors Biology,57026,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Biology,SCES 110,SCES 110 - Science and a Changing World,56838,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 100,CHEM 100 - The Molecular World,55929,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 101,CHEM 101 - General Chemistry I,55930,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 103,CHEM 103 - Accelerated General Chemistry,55932,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 121,CHEM 121 - Culinary Medicine,57022,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 160,CHEM 160 - Chemistry for the Health Sciences,55933,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 171,"CHEM 171 - Chemistry, Policy, and the Future of Our Planet",57021,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,CHEM 172,"CHEM 172 - Water, Water, Water",57081,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,HNRS 234,HNRS 234 - Honors Chemistry,57102,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Chemistry,SCES 210,SCES 210 - Science Content and Processes,56839,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 120,GEO 120 - Earth Systems,56108,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 151,GEO 151 - Introduction to Geology,56128,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 153,GEO 153 - Great Lakes Geology,56130,4,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 181,GEO 181 - First-Year Research in Earth Sciences: Dunes,56109,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 250,GEO 250 - Meteorology,56114,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,GEO 251,GEO 251 - Oceanography,56133,3,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Natural Sciences,Geology & Earth Sciences,HNRS 235,HNRS 235 - Honors Geology and Earth Science,57103,2,26,0.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 191,ECON 191 - Introduction to Economics,55992,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 221,ECON 221 - Principles of Microeconomics,55993,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 222,ECON 222 - Principles of Macroeconomics,55994,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 232,ECON 232 - Environmental Economics,55995,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 233,ECON 233 - Economics of Energy and Sustainability,56606,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 237,ECON 237 - Regional Economies of the World,55996,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,ECON 241,ECON 241 - Health Economics and Health Policy,55997,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Economics,HNRS 241,HNRS 241 - Honors Economics,57104,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Geography,GEO 101,"GEO 101 - People, Place, and Community",56111,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Geography,GEO 110,GEO 110 - World Regional Geography,56107,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Geography,HNRS 242,HNRS 242 - Honors Geography,57105,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Linguistics,ENGL 372,ENGL 372 - Sociolinguistics and Issues in Language Education,56041,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Linguistics,SPAN 341,"SPAN 341 - Spanish Phonology, Dialectology, and Sociolinguistics",56500,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,HNRS 243,HNRS 243 - Honors Political Science,57106,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 151,POLS 151 - Foundations of Social Research,56366,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 212,POLS 212 - Institutions and Politics of US Public Policy,56361,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 214,POLS 214 - Governments and Globalization,56362,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 217,POLS 217 - International Cooperation and Conflict,56359,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 219,POLS 219 - Institutions and Politics of US Foreign Policy,56953,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 224,POLS 224 - Contemporary Issues in Comparative Politics,56955,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 227,POLS 227 - Contemporary Issues in International Politics,56957,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 229,POLS 229 - Contemporary Issues in US Foreign Policy,56958,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 234,POLS 234 - The President and Congress,56363,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 237,POLS 237 - Political Parties and Interest Groups,56364,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 277,POLS 277 - Asian Politics,56573,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Political Science,POLS 279,POLS 279 - African Politics,56367,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Psychology,EDUC 241,"EDUC 241 - Inclusive Teaching: Ability, Language, and Multicultural Education",56861,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Psychology,HNRS 244,HNRS 244 - Honors Psychology,57107,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Psychology,PSYC 151,PSYC 151 - Introductory Psychology: Perspectives on the Self,56382,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,EDUC 240,EDUC 240 - The Social Context of Education,56959,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,HNRS 245,HNRS 245 - Honors Sociology and Social Work,57108,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 130,SOC 130 - Introduction to Cultural Anthropology,56463,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 151,SOC 151 - Sociological Principles and Perspectives,56462,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 201,SOC 201 - Families,56469,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 202,SOC 202 - Urban Sociology,56468,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 203,SOC 203 - Sociology of Deviance,56470,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 250,SOC 250 - Diversity and Inequality in the United States,56465,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 301,SOC 301 - Gender and Sexuality in the United States,56592,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOC 303,SOC 303 - Criminology,56464,4,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOWK 240,SOWK 240 - Introduction to Social Work and Social Welfare,56478,2,26,2.0,6.0
Core Program,KNOWLEDGE AND UNDERSTANDING,Social and Behavioral Sciences,Sociology and Social Work,SOWK 250,SOWK 250 - Diversity and Inequality in the United States,56479,4,26,2.0,6.0
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,ASC 140,ASC 140 - First-Generation Student Experience,57200,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,BUS 392,BUS 392 - Business Ethics,55886,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,COMM 141,COMM 141 - Visual Rhetoric,55901,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,EDUC 240,EDUC 240 - The Social Context of Education,56959,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,FREN 361,FREN 361 - The Francophone World: Quebec,56100,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,GEO 101,"GEO 101 - People, Place, and Community",56111,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 229,HIST 229 - Seminar in United States History,56156,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 250,HIST 250 - Native American History,57083,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 251,HIST 251 - Early America,56160,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 252,HIST 252 - America from Republic to Empire,56161,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 253,HIST 253 - Recent America,56162,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 255,HIST 255 - African-American History,56163,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 256,HIST 256 - Women and Gender in US History,56611,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 258,HIST 258 - US Military History,56164,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,HIST 356,HIST 356 - American Social and Cultural History,56178,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,IDIS 175,IDIS 175 - Who Am I? Helping Professionals Grow Self-Awareness Abroad,57040,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,IDIS 232,IDIS 232 - Cohorts Intensive: Common Good Collective Travel,57135,1,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,MIN 231,MIN 231 - Worship and Culture Worldwide,57871,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,MUSC 203,MUSC 203 - Popular Music,56277,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PHIL 137,"PHIL 137 - Disability, Community, and Advocacy",56846,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PHIL 139,PHIL 139 - Neurodiversity and Philosophy of Disability,57851,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PHIL 207,PHIL 207 - Justice and the Common Good: Studies in Political Philosophy,56321,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PHIL 211,PHIL 211 - Philosophy of Gender,56322,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PHIL 225,PHIL 225 - Public Philosophy,56845,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PSYC 270,PSYC 270 - Children at Risk,56790,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PSYC 335,PSYC 335 - Health Psychology,56395,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,PUBH 101,PUBH 101 - Introduction to Public Health,56403,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOC 151,SOC 151 - Sociological Principles and Perspectives,56462,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOC 201,SOC 201 - Families,56469,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOC 250,SOC 250 - Diversity and Inequality in the United States,56465,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOC 301,SOC 301 - Gender and Sexuality in the United States,56592,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOC 303,SOC 303 - Criminology,56464,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOWK 240,SOWK 240 - Introduction to Social Work and Social Welfare,56478,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOWK 250,SOWK 250 - Diversity and Inequality in the United States,56479,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SOWK 360,SOWK 360 - Social Welfare Policy and Advocacy,56484,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,SPAN 310,SPAN 310 - Hispanic Culture in the United States,57041,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Diversity and Difference,STDC 343,STDC 343 - Integrating Faith and Public Life,56546,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 123,BIOL 123 - Living Systems,55848,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 160,BIOL 160 - Ecological and Evolutionary Systems,55850,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 345,BIOL 345 - Ecosystem Ecology and Management,55870,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 346,BIOL 346 - Plant Taxonomy,55871,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 364,"BIOL 364 - Global Health, Environment, and Sustainability",55873,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 371,BIOL 371 - Tropical Ecosystems: Conservation and Development in Belize,57039,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,BIOL 372,BIOL 372 - Dutch Sustainability: Is Orange the New Green?,57015,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,CHEM 171,"CHEM 171 - Chemistry, Policy, and the Future of Our Planet",57021,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,CHEM 172,"CHEM 172 - Water, Water, Water",57081,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,CHEM 371,CHEM 371 - Chemistry and Sustainability: Life Cycle of an Electric Car,57046,1,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,ECON 232,ECON 232 - Environmental Economics,55995,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,ECON 233,ECON 233 - Economics of Energy and Sustainability,56606,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,ENGR 306,ENGR 306 - Principles of Environmental Engineering,56058,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 210,GEO 210 - Human Impacts on the Environment,56089,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 302,GEO 302 - Environmental Law,56090,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,FREN 301,FREN 301 - Advanced French I: Sustainability in France,56097,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 120,GEO 120 - Earth Systems,56108,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 151,GEO 151 - Introduction to Geology,56128,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 153,GEO 153 - Great Lakes Geology,56130,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 181,GEO 181 - First-Year Research in Earth Sciences: Dunes,56109,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 250,GEO 250 - Meteorology,56114,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 251,GEO 251 - Oceanography,56133,3,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,GEO 352,GEO 352 - Sustainable Communities,56122,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,HIST 274,HIST 274 - Environmental History,56172,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,HIST 280,HIST 280 - Introduction to Archaeology,56736,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,HNRS 230,HNRS 230 - Concepts and Methods in Science,56855,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,IDIS 162,IDIS 162 - Sustainability Action Workshop,57136,1,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,IDIS 184,IDIS 184 - Introduction to Sustainability Challenges,56049,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,IDIS 212,IDIS 212 - Global Health,56194,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,IDIS 237,IDIS 237 - Cohorts Intensive: Sustainability Fellows Travel,57133,1,8,,
