Entity Type, Entity OID, Entity Name       , Course OID, Course Type               , Prefix, Code, Name                      , Credits:, When Offered: , Description (Rendered no HTML)                                                                                                                                                                                                                                                                                                    , Prerequisite(s): (Rendered no HTML)                                                                                , Corequisite(s): (Rendered no HTML), Is Active, Program Usage                                                                                                                                                                                                                                                                                                                                                                                                                                                  , Program OIDs
S          ,       1716, School of Business,      55800, Accounting (Undergraduate), ACCT  ,  203, Managerial Accounting     ,        4, "['FA', 'SP']", "The course provides an introduction to managerial accounting concepts, budgeting, incremental cost and profit analysis, breakeven analysis, responsibility reporting, and the use of financial analysis for managerial decision-making.ï¿½May not be taken concurrently with ACCT 204.ï¿½ "                                      , "sophomore or higher standing, or permission of instructor. "                                                      ,                                   ,         1, "Accounting Minor,Business Minor,Entrepreneurship, BA,Kinesiology Major: Sport Management Emphasis, BA,Operations and Supply Chain Management Minor,Accounting, BSA,Business Analytics, BS,Finance, BS,Financial Planning, BS,Human Resource Management, BA,Marketing: Analytics and Research Concentration, BA,Marketing: Marketing Management Concentration, BA,Marketing: Professional Selling Concentration, BA,Operations and Supply Chain Management, BS", "13595, 13593, 13805, 13673, 13732, 13594, 13806, 13727, 13747, 13728, 13729, 13731, 13730, 13773"
S          ,       1716, School of Business,      55801, Accounting (Undergraduate), ACCT  ,  204, Financial Accounting      ,        4, "['FA', 'SP']", "After considering the importance of generally accepted accounting principles and the study of the accounting cycle, the course emphasizes asset valuation, classification, and measurement of liabilities, and income determination. This course may be taken before, but notï¿½concurrently with,ï¿½ACCT 203.ï¿½ "              , DATA 102.                                                                                                          ,                                   ,         1, "Accounting Minor,Actuarial Science, BA,Business Minor,Entrepreneurship, BA,Kinesiology Major: Sport Management Emphasis, BA,Accounting, BSA,Business Analytics, BS,Finance, BS,Financial Planning, BS,Human Resource Management, BA,Marketing: Analytics and Research Concentration, BA,Marketing: Marketing Management Concentration, BA,Marketing: Professional Selling Concentration, BA,Operations and Supply Chain Management, BS"                       , "13595, 13666, 13593, 13805, 13673, 13594, 13806, 13727, 13747, 13728, 13729, 13731, 13730, 13773"
S          ,       1716, School of Business,      55802, Accounting (Undergraduate), ACCT  ,  301, Intermediate Accounting I ,        4, ['FA']        , A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation of assets and liabilities.                                                                                                                                                                        , a grade of at least a C inï¿½ACCT 203  (may be taken concurrently with permission of instructor)ï¿½andï¿½ACCT 204 .,                                   ,         1, "Accounting Minor,Accounting, BSA"                                                                                                                                                                                                                                                                                                                                                                                                                             , "13595, 13594"
S          ,       1716, School of Business,      55803, Accounting (Undergraduate), ACCT  ,  302, Intermediate Accounting II,        4, ['SP']        , "Continuation of Intermediate Accounting I.ï¿½A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation assets, liabilities, shareholders' equity, issues related to income determination, and preparation and analysis of corporate financial statements. ", a grade of at least a C in ACCT 301ï¿½or permission of instructor.                                                 ,                                   ,         1, "Accounting Minor,Accounting, BSA"                                                                                                                                                                                                                                                                                                                                                                                                                             , "13595, 13594"
S          ,       1716, School of Business,      55804, Accounting (Undergraduate), ACCT  ,  305, Cost Accounting           ,        4, "['FA', 'SP']", "A continuation of costing systems and methods. Special emphasis is given to cost concepts, classification and measurement techniques in production planning and control under job order and process. "                                                                                                                           , a grade of at least a C inï¿½ACCT 203ï¿½andï¿½ACCT 204.                                                            ,                                   ,         1, "Accounting Minor,Accounting, BSA,Operations and Supply Chain Management, BS"                                                                                                                                                                                                                                                                                                                                                                                  , "13595, 13594, 13773"
